Date-Time,Température à 500hPa (K),Température à 1000hPa (K)
2022-08-09 18:00:00,261.29320251055975,296.0216266524449
2022-08-09 19:00:00,261.45598174297686,295.62780592885525
2022-08-09 20:00:00,261.6371392758281,295.1696611537459
2022-08-09 21:00:00,261.82617322315116,294.80340788080747
2022-08-09 22:00:00,262.5219231681596,293.22156130772214
2022-08-09 23:00:00,262.34339110679895,293.0561566038145
2022-08-10 00:00:00,262.3131981846571,293.13098254129653
2022-08-10 01:00:00,262.4746646813289,293.33708205330845
2022-08-10 02:00:00,262.4405335519511,293.5248032648862
2022-08-10 03:00:00,261.85505340954774,293.60750561684006
2022-08-10 04:00:00,261.3588392978247,293.7190881551905
2022-08-10 05:00:00,261.57806616728965,293.87530370888106
2022-08-10 06:00:00,261.5964444677238,294.17198198731865
2022-08-10 07:00:00,261.43629070679737,294.616999404975
2022-08-10 08:00:00,261.412661463382,294.95568522726217
2022-08-10 09:00:00,261.31289354673925,295.2352979410108
2022-08-10 10:00:00,261.29057703906915,296.79614074217136
2022-08-10 11:00:00,261.96007226917163,297.67961189875757
2022-08-10 12:00:00,261.8471769950759,298.2375245905097
2022-08-10 13:00:00,261.5911935247426,298.24146279774556
2022-08-10 14:00:00,261.1396124283598,298.2808448701045
2022-08-10 15:00:00,261.03721904022643,298.1666368602635
2022-08-10 16:00:00,261.39165769145717,297.7688779294379
2022-08-10 17:00:00,261.641077483064,297.2385326883371
2022-08-10 18:00:00,261.43103976381616,296.7160638617081
2022-08-10 19:00:00,261.2695732671444,296.2001587138056
2022-08-10 20:00:00,261.43103976381616,295.8037125187253
2022-08-10 21:00:00,261.5938189962332,295.4860304683629
2022-08-10 22:00:00,260.93088744485726,293.1480481059854
2022-08-10 23:00:00,261.1212341279256,293.58781458066056
2022-08-11 00:00:00,261.20524921562475,293.6534513679255
2022-08-11 01:00:00,260.9715822529615,293.5536834512828
2022-08-11 02:00:00,260.77729736265724,293.4289735554794
2022-08-11 03:00:00,260.7379152902983,293.27800894477
2022-08-11 04:00:00,260.94270206656495,293.09685141191875
2022-08-11 05:00:00,261.105481298982,292.95113774419053
2022-08-11 06:00:00,260.93482565209314,293.1270443340606
2022-08-11 07:00:00,260.6591511455803,294.35839046315107
2022-08-11 08:00:00,260.46355351953076,295.5647946130809
2022-08-11 09:00:00,260.35590918841626,296.4351384122141
2022-08-11 10:00:00,260.442549747606,297.7150557638806
2022-08-11 11:00:00,260.4701171982573,298.1928915751695
2022-08-11 12:00:00,260.40448041099233,298.8374448261113
2022-08-11 13:00:00,260.5462558714846,299.16431602669076
2022-08-11 14:00:00,260.66965303154274,299.29427686547535
2022-08-11 15:00:00,260.77467189116663,299.2141999850121
2022-08-11 16:00:00,260.5777615293718,298.88864152017794
2022-08-11 17:00:00,260.2876469296607,298.4160566518703
2022-08-11 18:00:00,260.2561412717736,297.85158028139176
2022-08-11 19:00:00,260.15243514789495,297.3291114547627
2022-08-11 20:00:00,259.75730168855995,296.9864874252397
2022-08-11 21:00:00,259.5420130263309,296.7383803693782
2022-08-11 22:00:00,259.10618475889163,295.8956040208962
2022-08-11 23:00:00,259.47243803183005,296.10039079716285
2022-08-12 00:00:00,259.5144455756796,296.14239834101244
2022-08-12 01:00:00,259.60896254934113,296.0583832533133
2022-08-12 02:00:00,259.76649083877703,295.8444073268296
2022-08-12 03:00:00,260.0014705371855,295.61730404289284
